API,API,
About,关于,
Access denied,拒绝访问,
Action,操作,
Action to perform when clicking the button. The doc will be available as `this`,单击按钮时要执行的操作。 该文档将以“this”的形式提供,
Add Weekly Holidays,添加每周休息日,
Add to Holidays,添加至假期,
Agent,代理,
Agent Group,代理组,
Agent Name,代理名称,
Agent {0} does not belong to team {1},代理 {0} 不属于团队 {1},
All,全部,
Allow Resetting SLA,允许重置 SLA,
Apply SLA for Resolution Time,SLA要求解决时间,
Archived,已存档,
Article,文章,
Assign to,分配给,
Assigned To,创建代办,
Assignment,分派,
Assignment Conditions,分派条件,
Assignment Rule,分派规则,
Assignment Rule for HD Team {0} does not exist,HD团队 {0} 的分配规则不存在,
Assignment Rules,分派规则,
"At-least one of priority, team and ticket type is required",至少需要优先级、团队和工单类型之一,
Attachment,附件,
Authentication failed,认证失败,
Author,作者,
Average Response Time,平均响应时间,
Base Support Rotation,基础服务轮班,
Base URL,根URL,
Based On,基于,
"Based on your HR Policy, select your leave allocation period's end date",根据您的人力资源政策，选择休假分配期的结束日期,
"Based on your HR Policy, select your leave allocation period's start date",根据您的人力资源政策，选择休假分配期的开始日期,
Branding,品牌推广,
Button,按钮,
Can not send email. No sender email set up!,无法发送电子邮件。 没有设置发件人电子邮件！,
Cancel,取消,
Category,类别,
Clear Table,清除表格,
Click on Add to Holidays. This will populate the holidays table with all the dates that fall on the selected weekly off. Repeat the process for populating the dates for all your weekly holidays,单击添加到假期。 这将使用选定的每周休息日内的所有日期填充假期表。 重复填充所有每周假期日期的过程,
Closed,已关闭,
Closed or rated tickets cannot be updated by non-agents,非代理无法更新已关闭或已评级的工单,
Color,颜色,
Comment,评论,
Commented By,评论者,
Condition,条件,
Contact,联系人,
Contact HTML,联系HTML,
Contact with us,与我们联系,
Contacts,联系人,
Content,内容,
Content Type,内容类型,
Criterion,标准,
Customer,客户,
Customer Name,客户名称,
Date,日期,
Default Priority,默认优先级,
Default SLA,默认服务等级协议,
Default priority,默认优先级,
Default template can not be deleted,默认模板无法删除,
Default ticket type,默认工单类型,
Description,描述,
Details,详细信息,
Do not apply filters and restrictions to agents of this team,请勿对该团队的代理应用过滤器和限制,
Do not restrict tickets without a Team,不限制没有团队的工单,
DocType,DocType,
Documentation,用户操作手册,
Domain,行业,
Draft,草稿,
Email,邮箱,
Email Account,电子邮箱帐号,
Enabled,已启用,
End Date,结束日期,
End Time,结束时间,
Enter a name for this HD Service Holiday List.,输入此 HD服务假期列表的名称。,
Escalation rule already exists for this criteria,此条件的升级规则已存在,
External link,外部链接,
Failed,失败,
FeatherIcon,羽毛图标,
Feedback,反馈,
Feedback (Extra),反馈（额外）,
Feedback (Option),反馈（选项）,
Feedback (Text),反馈（文字）,
Field (fieldname),字段（字段名）,
Field Name,字段名称,
Field `{0}` does not exist in Ticket,工单中不存在字段“{0}”,
Fields,字段,
Filter Type,过滤器类型,
Filters,过滤条件,
First Responded On,首次回复时间,
First Response Due,第一响应到期,
First Response Time,第一次响应时间,
First Response Time for Tickets,工单第一响应时间,
Frappe School,Frappe学校,
Frappe Support,Frappe支持,
Friday,星期五,
From,从,
From Date,开始日期,
Fulfilled,已履行,
Global,全球的,
Groups,组,
Guest,访客,
HD Action,HD动作,
HD Agent,HD代理,
HD Article,HD文章,
HD Article Category,HD文章分类,
HD Article Feedback,HD文章反馈,
HD Article Item,HD文章项目,
HD Article Sub Category Item,HD文章子类别项目,
HD Canned Response,HD预设回复,
HD Customer,HD客户,
HD Desk Account Request,HD桌面帐户请求,
HD Escalation Rule,HD升级规则,
HD Holiday,HD假期,
HD Notification,HD通知,
HD Organization,HD组织,
HD Organization Contact Item,HD组织联系方式,
HD Pause Service Level Agreement On Status,HD暂停SLA状态,
HD Portal Signup Request,HD门户注册请求,
HD Preset Filter,HD预设滤镜,
HD Preset Filter Item,HD预设滤镜项目,
HD Service Day,HD服务日,
HD Service Holiday List,HD服务假期清单,
HD Service Level Agreement,HD服务等级协议,
HD Service Level Agreement Fulfilled On Status,HD服务级别协议已履行状态,
HD Service Level Priority,HD服务等级优先,
HD Settings,HD设置,
HD Support Search Source,HD支持搜索源,
HD Team,HD团队,
HD Team Item,HD团队项目,
HD Team Member,HD团队成员,
HD Ticket,HD工单,
HD Ticket Activity,HD工单活动,
HD Ticket Comment,HD工单评论,
HD Ticket Feedback Option,HD工单反馈选项,
HD Ticket Priority,HD工单优先,
HD Ticket Template,HD工单模板,
HD Ticket Template Field,HD工单模板字段,
HD Ticket Type,HD工单类型,
HelpDesk,服务台,
Helpdesk,服务台,
Helpdesk Contact,服务台联系方式,
Helpful,有帮助,
"Here, your weekly offs are pre-populated based on the previous selections. You can add more rows to also add public and national holidays individually.",在这里，您每周的休息时间是根据之前的选择预先填充的。 您可以添加更多行来单独添加公共假期和国家假日。,
Hide condition,隐藏条件,
Hide from customer,向客户隐藏,
Holiday List,假期表,
Holiday List Name,假期表名称,
Holidays,假期,
IP Address,IP地址,
Icon,图标,
Ignore Restrictions,忽略限制,
Image,图片,
"Image to be used in various places, including Login and Signup pages. An image with transparent background and 160 x 32 is preferred",用于各种地方的图像，包括登录和注册页面。 最好是具有透明背景和 160 x 32 的图像,
Images,图片,
Inactive,失效,
Index,索引,
Input,输入,
Instantly send e-mail,立即发送电子邮件,
Integer value,整数值,
Is Active,生效,
Is Group,是组,
Is name setup skipped,跳过昵称设置,
Is pinned,已固定,
Is setup complete,设置已完成,
Keyboard Shortcuts,键盘快捷键,
Knowledge Base,知识库,
Label,标签,
Left,左边,
Link,链接,
Link Options,链接选项,
Log out,退出系统,
Logo,Logo,
"Lower the Integer value, higher is the priority of the issue",整数值越低，问题的优先级越高,
Mention,提到,
Message,信息,
Meta,元,
Misc,杂项,
Monday,星期一,
Monthly,每月,
My Profile,个人资料,
My Settings,个人设置,
Name,名称,
Not Helpful,没有帮助,
Not Specified,未指定,
Old Parent,旧上级,
On Hold Since,暂停后,
On click (Javascript),单击时（Javascript）,
Open,开放,
Opening Date,问题提交日期,
Opening Time,问题提交时间,
Parent Category,上级类别,
Paused,已暂停,
Please select weekly off day,请选择每周休息日,
Post Description Key,帖子描述,
Post Route Key List,帖子路径列表,
Post Route String,帖子路径,
Post Title Key,帖子标题,
Prefer knowledge base,优先知识库,
Priorities,优先级,
Priority,优先级,
Priority {0} has been repeated.,优先级{0}已重复。,
Published,已发,
Published On,发布日期,
Quarterly,每季,
Query Options,查询选项,
Query Route String,查询路径字符串,
Raised By (Email),提单人（电子邮件）,
Range,范围,
Rating,评分,
Rating must be between 0.2 and 1.0,评级必须介于 0.2 和 1.0 之间,
Rating {0} is not allowed,不允许评分 {0},
Reaction,反应,
Read,读,
Reference,参考,
Reference Ticket,参考工单,
References,参考,
Reload,刷新,
Replied,已回复,
Report an Issue,提交一个问题,
Request Key,请求密钥,
Required,必需的,
Resolution,解决方案,
Resolution By,分辨率,
Resolution Date,问题解决日期,
Resolution Details,解决方案,
Resolution Due,解决到期,
Resolution Time,解决时间,
Resolved,已解决,
Response,响应,
Response By,回复人,
Response Options,响应选项,
Response Result Key Path,响应结果关键路径,
Response Time for {0} priority in row {1} can't be greater than Resolution Time.,第{1}行中{0}优先级的响应时间不能大于“解决时间”。,
Response and Resolution,响应与解决方案,
Restrict tickets by Team,按团队限制工单,
Result Preview Field,结果预览字段,
Result Route Field,结果路径字段,
Result Title Field,结果标题字段,
Right,正确,
RouterLink,路由地址,
SLA,SLA,
SLA Creation,SLA创建,
SLA Fulfilled On,SLA计时,
SLA Paused On,SLA计时暂停,
SLA Status,SLA 状态,
SLAs,SLA,
Saturday,星期六,
Search Term Param Name,搜索术语参数名,
Select a Default Priority.,选择默认优先级。,
Select your weekly off day,选择您的每周休息日,
Send Invites,发送邀请,
Service Level Name,服务等级名称,
Session Defaults,会话默认值,
Set Response Time for Priority {0} in row {1}.,设置第 {1} 行中优先级 {0} 的响应时间。,
Settings,设定,
Setup,设置,
"Simple Python Expression, Example: doc.status == 'Open' and doc.ticket_type == 'Bug'",简单的 Python 表达式，示例：doc.status == 'Open' 和 doc.ticket_type == 'Bug',
Skip e-mail workflow,跳过电子邮件工作流程,
Source DocType,源DocType,
Source Name,源名称,
Source Type,来源类型,
Start Date,开始日期,
Start Time,开始时间,
Start Time can't be greater than or equal to End Time for {0}.,开始时间不能大于或等于 {0} 的结束时间。,
Status,状态,
Status Details,状态信息,
Still got questions? We're here to assist you.,还有疑问吗？ 我们随时为您提供帮助。,
Sub Category,子类别,
Subject,主题,
Suggest Articles in New TIcket Page,在新工单页面中推荐文章,
Sunday,星期天,
Support Team,售后支持团队,
Suppress default email toast,禁止默认邮件弹窗,
System,系统,
System Manager,系统管理员,
System types can not be deleted,系统类型无法删除,
Team,团队,
Team Restrictions,团队限制,
Template,模板,
Template Name,模板名称,
TextEditorFixedMenu,文本编辑器固定菜单,
The Condition '{0}' is invalid: {1},条件“{0}”无效：{1},
The holiday on {0} is not between From Date and To Date,在{0}这个假期之间不在开始日期和结束日期之间,
This doctype will be deprecated in the future,该文档类型将来将被弃用,
"This field is used to send an email instantly without adding it into the queue. If this field is checked, the email will be sent immediately after clicking the ""Send"" button, instead of being added to the email queue for later processing.",此字段用于立即发送电子邮件，而不将其添加到队列中。 如果选中此字段，则单击“发送”按钮后将立即发送电子邮件，而不是添加到电子邮件队列中以供稍后处理。,
"This field is used to skip email-related workflows for tickets. If this field is checked, no emails will be sent related to tickets, such as new ticket creation, status updates, or notifications.",此字段用于跳过与电子邮件相关的工单工作流程。 如果选中此字段，则不会发送与工单相关的电子邮件，例如新工单创建、状态更新或通知。,
Thursday,星期四,
Ticket,工单,
Ticket Analytics,工单分析,
Ticket Priority,工单优先权,
Ticket Split From,工单分割自,
Ticket Summary,工单摘要,
Ticket Type,工单类型,
Ticket must be resolved with a feedback,工单必须通过反馈来解决,
Ticket not found,工单不见了,
Ticket type,工单类型,
Ticket type is mandatory,工单类型为必填项,
Title,标题,
Title Slug,标题标题,
To,至,
To Date,结束日期,
To Date cannot be before From Date,到日期不能早于日期,
Toasts,弹窗,
Toggle Full Width,切换全屏宽度显示,
Toggle Theme,切换主题,
Total,总计,
Total Hold Time,总保持时间,
Total Holidays,总假期,
Total Ticket,总工单数,
Track SLA,跟踪 SLA,
Tuesday,星期二,
Type,类型,
URL/Method,网址/方法,
User,用户,
User Forum,用户论坛,
User Resolution Time,用户解析时间,
Users,用户,
Valid From,有效期自,
Value,值,
Via Customer Portal,通过客户门户,
View Website,查看网站,
Views,视图,
Wednesday,星期三,
Weekly,每周,
Weekly Off,周末,
Workday,工作日,
Workday {0} has been repeated.,工作日{0}已重复。,
Workflow,工作流,
Working Hours,工作时间,
Yearly,每年,
You are not allowed to access {0},您无权访问{0},
You are not permitted to add a comment,您无权添加评论,
after,后,
before,前,
between,之间,
dark,黑暗的,
default,默认,
div,分区,
in,在,
is,是,
is not,不是,
light,光,
like,Like,
not in,不在,
not like,不喜欢,
off,关闭,
on,于,
onAfterUpdate,更新后,
onBeforeUpdate,更新前,
onClickOutside,单击外部,
onCreate,创建时,
onDestroy,销毁时,
onHidden,隐藏,
onHide,隐藏,
onMount,挂载,
onShow,展出,
onShown,已显示,
onTrigger,触发,
onUntrigger,取消触发,
router-link,路由链接,
svg,svg,
Support Policy,服务策略,
Agent Configuration,代理配置,
Ticket Configuration,工单配置,
Helpdesk Reports,服务台报告,
Channels,通信渠道,
Incident,事件,
Tickets,工单,
Bug,Bug,
Question,问题,
Unspecified,未指定,
Support Rotation,支持轮换,
Automatic Assignment, 自动分配,
Product Experts - Support Rotation,产品专家 - 支持轮换,
Billing - Support Rotation,计费 - 支持轮换,
Knowledge base,知识库,
Teams,团队,
Canned responses,自动回复,
Customer portal,客户门户,
All Tickets,全部工单,
My Open Tickets,开放,
My Replied Tickets,已回复,
My Resolved Tickets,已解决,
My Closed Tickets,已关闭,
Empty - Choose a field to filter by,空 - 选择一个字段进行筛选,
Sort,排序,
Add filter,添加过滤条件